id,t,d+1,d,L,eps,U
6,27,2.0,2.0,1.0,0.29097249539385306,34.540918907156914
6,28,2.0,2.0,1.0,0.7265639276499356,33.89319486882531
6,29,2.0,2.0,1.0,0.2540064614329366,32.33732193202063
6,30,2.0,2.0,1.0,2.049037316396319,1002.0490373163963
7,1,1.0,0.0,0.0,-1.5078917357260793,61.416148647042846
7,2,1.0,1.0,1.0,-0.0744901353892734,61.258343041065885
7,3,1.0,1.0,1.0,0.551969841720004,60.80148754758748
7,4,1.0,1.0,1.0,-0.4965764497506601,58.669625785529135
7,5,1.0,1.0,1.0,0.5618190276126538,58.64470579230476
7,6,1.0,1.0,1.0,-0.032661282441741414,56.966910011662684
7,7,1.0,1.0,1.0,0.2218030189035125,56.138058842420264
7,8,1.0,1.0,1.0,0.06782020732156178,54.900760560250625
7,9,1.0,1.0,1.0,0.8414128363926592,54.591037718734036
7,10,1.0,1.0,1.0,0.23282659508124506,52.899136006834944
7,11,1.0,1.0,1.0,0.020774162096903217,51.60376810326292
7,12,1.0,1.0,1.0,-0.37514070939269684,50.124537761185636
7,13,1.0,1.0,1.0,1.3670761178069284,50.783439117797585
7,14,2.0,1.0,0.0,-1.235202705670788,47.33304752940297
7,15,2.0,2.0,1.0,0.6985850480126117,47.94831710682789
7,16,2.0,2.0,1.0,0.6940138338298556,46.860430422057455
7,17,2.0,2.0,1.0,-0.5734355848074124,44.5096655328325
7,18,2.0,2.0,1.0,0.8237072814714154,44.82349292852364
7,19,3.0,2.0,0.0,-2.032885070514719,41.91647017646454
7,20,4.0,3.0,0.0,-1.5814318486789944,40.83315470587686
7,21,5.0,4.0,0.0,-1.8107316939269842,39.74983923528917
7,22,5.0,5.0,1.0,-0.8111494015936654,38.85537436310782
7,23,5.0,5.0,1.0,0.9160610178044541,39.499269311918255
7,24,5.0,5.0,1.0,0.6084191047410829,38.1083119282672
7,25,5.0,5.0,1.0,-0.46045411438866374,35.95612323854977
7,26,5.0,5.0,1.0,1.399095558184228,36.732357440534976
7,27,5.0,5.0,1.0,-0.5699788992708683,33.6799675124922
7,28,5.0,5.0,1.0,-0.279962111847411,32.88666882932797
7,29,5.0,5.0,1.0,0.828934549852414,32.912250020440105
7,30,6.0,5.0,0.0,-1.1219373127101389,1000.0
8,1,0.0,0.0,1.0,0.6349283144907129,63.05107696153356
8,2,0.0,0.0,1.0,0.938655036552762,62.27148821300792
8,3,1.0,0.0,0.0,-1.0469820464975192,59.249517705867476
8,4,2.0,1.0,0.0,-1.0077734029938878,58.1662022352798
8,5,3.0,2.0,0.0,-2.165978844509322,57.08288676469211
8,6,3.0,3.0,1.0,-0.9551184496194807,56.044452844484944
8,7,3.0,3.0,1.0,0.3138015049474356,56.230057328464184
8,8,3.0,3.0,1.0,-0.3425548931684773,54.49038545976059
8,9,3.0,3.0,1.0,1.2706209382230138,55.02024582056439
8,10,3.0,3.0,1.0,-0.5270985649790937,52.13921084677461
8,11,4.0,3.0,0.0,-1.633907698642321,50.582993941166016
8,12,4.0,4.0,1.0,0.3196894413038618,50.819367911882196
8,13,4.0,4.0,1.0,-0.027541058242101357,49.38882194174855
8,14,4.0,4.0,1.0,0.8563168005721762,49.18936432997514
8,15,4.0,4.0,1.0,-0.36610069683731383,46.88363136197797
8,16,5.0,4.0,0.0,-1.1265726505024176,45.1664165882276
8,17,6.0,5.0,0.0,-1.4111072029011016,44.08310111763991
8,18,6.0,6.0,1.0,1.8982259960875176,45.898011643139746
8,19,6.0,6.0,1.0,-0.44841407399767313,42.46805610246687
8,20,6.0,6.0,1.0,2.104822459447883,43.93797716532474
8,21,6.0,6.0,1.0,1.3345859307851777,42.084425166074354
8,22,6.0,6.0,1.0,-0.012896444349807988,39.65362732035168
8,23,6.0,6.0,1.0,1.4310638885064004,40.0142721826202
8,24,6.0,6.0,1.0,-0.20408141804481192,37.2958114054813
8,25,6.0,6.0,1.0,-0.686282963111182,35.73029438982725
8,26,6.0,6.0,1.0,-0.5181733520066709,34.81508853034408
